timestamp,open,low,high,close,volume
2022-06-17 12:07:00,2990,2990,2990,2990,0
2022-06-17 12:08:00,2990,2990,2990,2990,0
2022-06-17 12:09:00,2990,2990,2990,2990,0
2022-06-17 12:10:00,2990,2990,2990,2990,0
2022-06-17 12:11:00,2990,2990,2990,2990,0
2022-06-17 12:12:00,2990,2990,2990,2990,0
2022-06-17 12:13:00,2990,2990,2990,2990,0
2022-06-17 12:14:00,2990,2990,2990,2990,0
2022-06-17 12:15:00,2990,2990,2990,2990,0
2022-06-17 12:16:00,2990,2990,2990,2990,0
2022-06-17 12:17:00,2990,2990,2990,2990,0
2022-06-17 12:18:00,2990,2990,2990,2990,0
2022-06-17 12:19:00,2990,2990,2990,2990,0
2022-06-17 12:20:00,2990,2990,2990,2990,0
2022-06-17 12:21:00,2990,2990,2990,2990,0
2022-06-17 12:22:00,2990,2990,2990,2990,0
2022-06-17 12:23:00,2990,2990,2990,2990,0
2022-06-17 12:24:00,2990,2990,2990,2990,0
2022-06-17 12:25:00,2990,2990,2990,2990,0
2022-06-17 12:26:00,2990,2990,2990,2990,0
2022-06-17 12:27:00,2990,2990,2990,2990,0
2022-06-17 12:28:00,2990,2990,2990,2990,0
2022-06-17 12:29:00,2990,2990,2990,2990,0
2022-06-17 12:30:00,2990,2990,2990,2990,0
2022-06-17 12:31:00,2990,2990,2990,2990,0
2022-06-17 12:32:00,2990,2990,2990,2990,0
2022-06-17 12:33:00,2990,2990,2990,2990,0
2022-06-17 12:34:00,2990,2990,2990,2990,0
2022-06-17 12:35:00,2990,2990,2990,2990,0
2022-06-17 12:36:00,2990,2990,2990,2990,0
2022-06-17 12:37:00,2990,2990,2990,2990,0
2022-06-17 12:38:00,2990,2990,2990,2990,0
2022-06-17 12:39:00,2990,2990,2990,2990,0
2022-06-17 12:40:00,2990,2990,2990,2990,0
2022-06-17 12:41:00,2990,2990,2990,2990,0
2022-06-17 12:42:00,2990,2990,2990,2990,0
2022-06-17 12:43:00,2990,2990,2990,2990,0
2022-06-17 12:44:00,2990,2990,2990,2990,0
2022-06-17 12:45:00,2990,2990,2990,2990,0
2022-06-17 12:46:00,2990,2990,2990,2990,0
2022-06-17 12:47:00,2990,2990,2990,2990,0
2022-06-17 12:48:00,2990,2990,2990,2990,0
2022-06-17 12:49:00,2990,2990,2990,2990,0
2022-06-17 12:50:00,2990,2990,2990,2990,0
2022-06-17 12:51:00,2990,2990,2990,2990,0
2022-06-17 12:52:00,2990,2990,2990,2990,0
2022-06-17 12:53:00,2990,2990,2990,2990,0
2022-06-17 12:54:00,2990,2990,2990,2990,0
2022-06-17 12:55:00,2990,2990,2990,2990,0
2022-06-17 12:56:00,2990,2990,2990,2990,0
2022-06-17 12:57:00,2990,2990,2990,2990,0
2022-06-17 12:58:00,2990,2990,2990,2990,0
2022-06-17 12:59:00,2990,2990,2990,2990,0
2022-06-17 13:00:00,2990,2990,2990,2990,0
2022-06-17 13:01:00,2990,2990,2990,2990,0
2022-06-17 13:02:00,2990,2990,2990,2990,0
2022-06-17 13:03:00,2990,2990,2990,2990,0
2022-06-17 13:04:00,2990,2990,2990,2990,0
2022-06-17 13:05:00,2990,2990,2990,2990,0
2022-06-17 13:06:00,2990,2990,2990,2990,0
2022-06-17 13:07:00,2990,2990,2990,2990,0
2022-06-17 13:08:00,2990,2990,2990,2990,0
2022-06-17 13:09:00,2990,2990,2990,2990,0
2022-06-17 13:10:00,2990,2990,2990,2990,0
2022-06-17 13:11:00,2990,2990,2990,2990,0
2022-06-17 13:12:00,2990,2990,2990,2990,0
2022-06-17 13:13:00,2990,2990,2990,2990,0
2022-06-17 13:14:00,2990,2990,2990,2990,0
2022-06-17 13:15:00,2990,2990,2990,2990,0
2022-06-17 13:16:00,2990,2990,2990,2990,0
2022-06-17 13:17:00,2990,2990,2990,2990,0
2022-06-17 13:18:00,2990,2990,2990,2990,0
2022-06-17 13:19:00,2990,2990,2990,2990,0
2022-06-17 13:20:00,2990,2990,2990,2990,0
2022-06-17 13:21:00,2990,2990,2990,2990,0
2022-06-17 13:22:00,2990,2990,2990,2990,0
2022-06-17 13:23:00,2990,2990,2990,2990,0
2022-06-17 13:24:00,2990,2990,2990,2990,0
2022-06-17 13:25:00,2990,2990,2990,2990,0
2022-06-17 13:26:00,2990,2990,2990,2990,0
2022-06-17 13:27:00,2990,2990,2990,2990,0
2022-06-17 13:28:00,2990,2990,2990,2990,0
2022-06-17 13:29:00,2990,2990,2990,2990,0
2022-06-17 13:30:00,2990,2990,2990,2990,5200
2022-06-17 13:31:00,2990,2990,2990,2990,0
2022-06-17 13:32:00,2990,2990,2990,2990,0
2022-06-17 13:33:00,2990,2990,2990,2990,0
2022-06-17 13:34:00,2990,2990,2990,2990,0
2022-06-17 13:35:00,2990,2990,2990,2990,0
2022-06-17 13:36:00,2990,2990,2990,2990,0
2022-06-17 13:37:00,2990,2990,2990,2990,0
2022-06-17 13:38:00,2990,2990,2990,2990,0
2022-06-17 13:39:00,2990,2990,2990,2990,0
2022-06-17 13:40:00,2990,2990,2990,2990,0
2022-06-17 13:41:00,2990,2990,2990,2990,0
2022-06-17 13:42:00,2990,2990,2990,2990,0
2022-06-17 13:43:00,2990,2990,2990,2990,0
2022-06-17 13:44:00,2990,2990,2990,2990,0
2022-06-17 13:45:00,3000,2990,3000,2990,2000
2022-06-17 13:46:00,3000,2990,3000,2990,0
2022-06-17 13:47:00,2990,2990,2990,2990,3000
2022-06-17 13:48:00,2990,2990,2990,2990,0
2022-06-17 13:49:00,2990,2990,2990,2990,0
2022-06-17 13:50:00,2990,2990,2990,2990,0
2022-06-17 13:51:00,2990,2990,2990,2990,0
2022-06-17 13:52:00,2990,2990,2990,2990,0
2022-06-17 13:53:00,2990,2990,2990,2990,0
2022-06-17 13:54:00,2990,2990,2990,2990,0
2022-06-17 13:55:00,2990,2990,2990,2990,0
2022-06-17 13:56:00,2990,2990,2990,2990,0
2022-06-17 13:57:00,2990,2990,2990,2990,0
2022-06-17 13:58:00,2990,2990,2990,2990,0
2022-06-17 13:59:00,2990,2990,2990,2990,100
2022-06-17 14:00:00,2990,2990,2990,2990,0
2022-06-17 14:01:00,2990,2990,2990,2990,0
2022-06-17 14:02:00,2990,2990,2990,2990,0
2022-06-17 14:03:00,2990,2990,2990,2990,0
2022-06-17 14:04:00,2990,2990,2990,2990,0
2022-06-17 14:05:00,2990,2990,2990,2990,0
2022-06-17 14:06:00,2990,2990,2990,2990,0
2022-06-17 14:07:00,2990,2990,2990,2990,0
2022-06-17 14:08:00,2990,2990,2990,2990,0
2022-06-17 14:09:00,2990,2990,2990,2990,0
2022-06-17 14:10:00,2990,2990,2990,2990,0
2022-06-17 14:11:00,2990,2990,2990,2990,0
2022-06-17 14:12:00,2990,2990,2990,2990,0
2022-06-17 14:13:00,2990,2990,2990,2990,0
2022-06-17 14:14:00,2990,2990,2990,2990,0
2022-06-17 14:15:00,2990,2990,2990,2990,0
2022-06-17 14:16:00,2990,2990,2990,2990,0
2022-06-17 14:17:00,2990,2990,2990,2990,0
2022-06-17 14:18:00,2990,2990,2990,2990,0
2022-06-17 14:19:00,2990,2990,2990,2990,0
2022-06-17 14:20:00,2990,2990,2990,2990,0
2022-06-17 14:21:00,2990,2990,2990,2990,0
2022-06-17 14:22:00,2990,2990,2990,2990,0
2022-06-17 14:23:00,2990,2990,2990,2990,0
2022-06-17 14:24:00,2990,2990,2990,2990,0
2022-06-17 14:25:00,2990,2990,2990,2990,0
2022-06-17 14:26:00,2990,2990,2990,2990,0
2022-06-17 14:27:00,2990,2990,2990,2990,0
2022-06-17 14:28:00,2990,2990,2990,2990,0
2022-06-17 14:29:00,2990,2990,2990,2990,0
2022-06-17 14:30:00,2990,2990,2990,2990,0
2022-06-17 14:31:00,2990,2990,2990,2990,0
2022-06-17 14:32:00,2990,2990,2990,2990,0
2022-06-17 14:33:00,2990,2990,2990,2990,0
2022-06-17 14:34:00,2990,2990,2990,2990,0
2022-06-17 14:35:00,2990,2990,2990,2990,0
2022-06-17 14:36:00,2990,2990,2990,2990,0
2022-06-17 14:37:00,2990,2990,2990,2990,0
2022-06-17 14:38:00,2990,2990,2990,2990,0
2022-06-17 14:39:00,2990,2990,2990,2990,0
2022-06-17 14:40:00,2990,2990,2990,2990,0
2022-06-17 14:41:00,2990,2990,2990,2990,0
2022-06-17 14:42:00,2990,2990,2990,2990,0
2022-06-17 14:43:00,2990,2990,2990,2990,0
2022-06-17 14:44:00,2990,2990,2990,2990,0
2022-06-17 14:45:00,2990,2990,2990,2990,0
2022-06-17 14:46:00,2990,2990,2990,2990,0
2022-06-17 14:47:00,2990,2990,2990,2990,0
2022-06-17 14:48:00,2990,2990,2990,2990,0
2022-06-17 14:49:00,2990,2990,2990,2990,0
2022-06-17 14:50:00,2990,2990,2990,2990,0
2022-06-17 14:51:00,2990,2990,2990,2990,0
2022-06-17 14:52:00,2990,2990,2990,2990,0
2022-06-17 14:53:00,2990,2990,2990,2990,0
2022-06-17 14:54:00,2990,2990,2990,2990,0
2022-06-17 14:55:00,2990,2990,2990,2990,0
2022-06-17 14:56:00,2990,2990,2990,2990,0
2022-06-17 14:57:00,2990,2990,2990,2990,0
2022-06-17 14:58:00,2990,2990,2990,2990,0
2022-06-17 14:59:00,2990,2990,2990,2990,0
2022-06-17 15:00:00,2990,2990,2990,2990,2100
2022-06-17 15:01:00,2990,2990,2990,2990,0
2022-06-17 15:02:00,2990,2990,2990,2990,0
2022-06-17 15:03:00,2990,2990,2990,2990,0
2022-06-17 15:04:00,2990,2990,2990,2990,0
2022-06-17 15:05:00,2990,2990,2990,2990,0
2022-06-17 15:06:00,2990,2990,2990,2990,0
2022-06-17 15:07:00,2990,2990,2990,2990,0
2022-06-17 15:08:00,2990,2990,2990,2990,0
2022-06-17 15:09:00,2990,2990,2990,2990,0
2022-06-17 15:10:00,2990,2990,2990,2990,0
2022-06-17 15:11:00,2990,2990,2990,2990,0
2022-06-17 15:12:00,2990,2990,2990,2990,0
2022-06-17 15:13:00,2990,2990,2990,2990,0
2022-06-17 15:14:00,2990,2990,2990,2990,0
2022-06-17 15:15:00,2990,2990,2990,2990,0
2022-06-17 15:16:00,2990,2990,2990,2990,0
2022-06-17 15:17:00,2990,2990,2990,2990,0
2022-06-17 15:18:00,2990,2990,2990,2990,0
2022-06-17 15:19:00,2990,2990,2990,2990,0
2022-06-17 15:20:00,2990,2990,2990,2990,0
2022-06-17 15:21:00,2990,2990,2990,2990,0
2022-06-17 15:22:00,2990,2990,2990,2990,0
2022-06-17 15:23:00,2990,2990,2990,2990,0
2022-06-17 15:24:00,2990,2990,2990,2990,0
2022-06-17 15:25:00,2990,2990,2990,2990,0
2022-06-17 15:26:00,2990,2990,2990,2990,0
2022-06-17 15:27:00,2990,2990,2990,2990,0
2022-06-17 15:28:00,2990,2990,2990,2990,0
2022-06-17 15:29:00,2990,2990,2990,2990,0
2022-06-17 15:30:00,2990,2990,2990,2990,0
2022-06-17 15:31:00,2990,2990,2990,2990,0
2022-06-17 15:32:00,2990,2990,2990,2990,0
2022-06-17 15:33:00,2990,2990,2990,2990,0
2022-06-17 15:34:00,2990,2990,2990,2990,0
2022-06-17 15:35:00,2990,2990,2990,2990,0
2022-06-17 15:36:00,2990,2990,2990,2990,0
2022-06-17 15:37:00,2990,2990,2990,2990,0
2022-06-17 15:38:00,2990,2990,2990,2990,0
2022-06-17 15:39:00,2990,2990,2990,2990,0
2022-06-17 15:40:00,2990,2990,2990,2990,0
2022-06-17 15:41:00,2990,2990,2990,2990,0
2022-06-17 15:42:00,2990,2990,2990,2990,0
2022-06-17 15:43:00,2990,2990,2990,2990,0
2022-06-17 15:44:00,2990,2990,2990,2990,0
2022-06-17 15:45:00,2990,2990,2990,2990,0
2022-06-17 15:46:00,2990,2990,2990,2990,0
2022-06-17 15:47:00,2990,2990,2990,2990,0
2022-06-17 15:48:00,2990,2990,2990,2990,0
2022-06-17 15:49:00,2990,2990,2990,2990,0
2022-06-17 15:50:00,2990,2990,2990,2990,0
2022-06-17 15:51:00,2990,2990,2990,2990,0
2022-06-17 15:52:00,2990,2990,2990,2990,0
2022-06-17 15:53:00,2990,2990,2990,2990,0
2022-06-17 15:54:00,2990,2990,2990,2990,0
2022-06-17 15:55:00,2990,2990,2990,2990,0
2022-06-17 15:56:00,2990,2990,2990,2990,0
2022-06-17 15:57:00,2990,2990,2990,2990,0
2022-06-17 15:58:00,2990,2990,2990,2990,0
2022-06-17 15:59:00,2990,2990,2990,2990,0
2022-06-20 09:00:00,2990,2990,2990,2990,0
2022-06-20 09:01:00,2990,2990,2990,2990,0
2022-06-20 09:02:00,2990,2990,2990,2990,0
2022-06-20 09:03:00,2990,2990,2990,2990,0
2022-06-20 09:04:00,2990,2990,2990,2990,0
2022-06-20 09:05:00,2990,2990,2990,2990,0
2022-06-20 09:06:00,2990,2990,2990,2990,0
2022-06-20 09:07:00,2990,2990,2990,2990,0
2022-06-20 09:08:00,2990,2990,2990,2990,0
2022-06-20 09:09:00,2990,2990,2990,2990,0
2022-06-20 09:10:00,2990,2990,2990,2990,0
2022-06-20 09:11:00,2990,2990,2990,2990,0
2022-06-20 09:12:00,2990,2990,2990,2990,0
2022-06-20 09:13:00,2990,2990,2990,2990,0
2022-06-20 09:14:00,2990,2990,2990,2990,0
2022-06-20 09:15:00,2990,2990,2990,2990,0
2022-06-20 09:16:00,2990,2990,2990,2990,0
2022-06-20 09:17:00,2990,2990,2990,2990,0
2022-06-20 09:18:00,2990,2990,2990,2990,0
2022-06-20 09:19:00,2990,2990,2990,2990,0
2022-06-20 09:20:00,2990,2990,2990,2990,0
2022-06-20 09:21:00,2990,2990,2990,2990,0
2022-06-20 09:22:00,2990,2990,2990,2990,0
2022-06-20 09:23:00,2990,2990,2990,2990,0
2022-06-20 09:24:00,2990,2990,2990,2990,0
2022-06-20 09:25:00,2990,2990,2990,2990,0
2022-06-20 09:26:00,2990,2990,2990,2990,0
2022-06-20 09:27:00,2990,2990,2990,2990,0
2022-06-20 09:28:00,2990,2990,2990,2990,0
2022-06-20 09:29:00,2990,2990,2990,2990,10200
2022-06-20 09:30:00,3000,3000,3100,3100,20700
2022-06-20 09:31:00,3100,3100,3100,3100,89600
2022-06-20 09:32:00,3100,3100,3100,3100,0
2022-06-20 09:33:00,3090,3080,3090,3080,12900
2022-06-20 09:34:00,3080,3080,3080,3080,22800
2022-06-20 09:35:00,3080,3080,3080,3080,0
2022-06-20 09:36:00,3070,3070,3070,3070,500
2022-06-20 09:37:00,3070,3060,3070,3060,21200
2022-06-20 09:38:00,3070,3070,3070,3070,54400
2022-06-20 09:39:00,3070,3070,3070,3070,200
2022-06-20 09:40:00,3070,3070,3070,3070,0
2022-06-20 09:41:00,3080,3080,3100,3100,119400
2022-06-20 09:42:00,3110,3100,3110,3110,58900
2022-06-20 09:43:00,3120,3110,3130,3130,69900
2022-06-20 09:44:00,3130,3110,3130,3110,22900
2022-06-20 09:45:00,3110,3100,3110,3100,200
2022-06-20 09:46:00,3100,3100,3100,3100,800
2022-06-20 09:47:00,3090,3090,3090,3090,1100
2022-06-20 09:48:00,3090,3080,3090,3080,21300
2022-06-20 09:49:00,3080,3080,3080,3080,10000
2022-06-20 09:50:00,3080,3080,3080,3080,30000
2022-06-20 09:51:00,3080,3080,3080,3080,0
2022-06-20 09:52:00,3070,3070,3070,3070,22100
2022-06-20 09:53:00,3070,3070,3070,3070,0
2022-06-20 09:54:00,3070,3070,3070,3070,0
2022-06-20 09:55:00,3070,3070,3070,3070,0
2022-06-20 09:56:00,3070,3070,3070,3070,0
2022-06-20 09:57:00,3070,3070,3070,3070,50000
2022-06-20 09:58:00,3070,3070,3070,3070,1100
2022-06-20 09:59:00,3070,3070,3070,3070,0
2022-06-20 10:00:00,3070,3070,3070,3070,0
2022-06-20 10:01:00,3070,3070,3070,3070,0
2022-06-20 10:02:00,3070,3070,3070,3070,0
2022-06-20 10:03:00,3070,3070,3070,3070,0
2022-06-20 10:04:00,3070,3070,3070,3070,0
2022-06-20 10:05:00,3070,3070,3070,3070,0
2022-06-20 10:06:00,3070,3070,3070,3070,0
2022-06-20 10:07:00,3070,3070,3070,3070,0
2022-06-20 10:08:00,3060,3050,3060,3050,3700
2022-06-20 10:09:00,3060,3050,3060,3050,0
2022-06-20 10:10:00,3060,3050,3060,3050,0
2022-06-20 10:11:00,3050,3050,3080,3080,50100
2022-06-20 10:12:00,3050,3050,3050,3050,50000
2022-06-20 10:13:00,3050,3050,3050,3050,0
2022-06-20 10:14:00,3050,3050,3050,3050,50000
2022-06-20 10:15:00,3050,3050,3050,3050,0
2022-06-20 10:16:00,3040,3040,3040,3040,50000
2022-06-20 10:17:00,3040,3040,3040,3040,0
2022-06-20 10:18:00,3040,3040,3040,3040,0
2022-06-20 10:19:00,2990,2990,2990,2990,100
2022-06-20 10:20:00,2990,2990,2990,2990,0
2022-06-20 10:21:00,2990,2990,3020,3020,85200
2022-06-20 10:22:00,3020,3020,3020,3020,5100
2022-06-20 10:23:00,3020,3020,3020,3020,0
2022-06-20 10:24:00,3020,3020,3020,3020,0
2022-06-20 10:25:00,3020,3020,3020,3020,0
2022-06-20 10:26:00,3020,3020,3020,3020,0
2022-06-20 10:27:00,3020,3020,3020,3020,0
2022-06-20 10:28:00,3020,3020,3020,3020,0
2022-06-20 10:29:00,3020,3020,3020,3020,1500
2022-06-20 10:30:00,3020,3020,3020,3020,0
2022-06-20 10:31:00,3020,3020,3020,3020,0
2022-06-20 10:32:00,3020,3020,3020,3020,0
2022-06-20 10:33:00,3020,3020,3020,3020,0
2022-06-20 10:34:00,3020,3020,3020,3020,4400
2022-06-20 10:35:00,3050,3050,3050,3050,6000
2022-06-20 10:36:00,3050,3050,3050,3050,15000
2022-06-20 10:37:00,3050,3050,3050,3050,0
2022-06-20 10:38:00,3050,3050,3050,3050,18400
2022-06-20 10:39:00,3050,3050,3050,3050,1600
2022-06-20 10:40:00,3050,3050,3050,3050,0
2022-06-20 10:41:00,3050,3050,3050,3050,0
2022-06-20 10:42:00,3050,3050,3050,3050,20000
2022-06-20 10:43:00,3050,3050,3050,3050,20000
2022-06-20 10:44:00,3050,3050,3050,3050,0
2022-06-20 10:45:00,3050,3050,3050,3050,0
2022-06-20 10:46:00,3050,3050,3050,3050,0
2022-06-20 10:47:00,3050,3050,3050,3050,0
2022-06-20 10:48:00,3050,3050,3050,3050,0
2022-06-20 10:49:00,3050,3050,3050,3050,0
2022-06-20 10:50:00,3050,3050,3050,3050,0
2022-06-20 10:51:00,3050,3050,3050,3050,0
2022-06-20 10:52:00,3050,3050,3050,3050,0
2022-06-20 10:53:00,3050,3050,3050,3050,30000
2022-06-20 10:54:00,3050,3050,3050,3050,1700
2022-06-20 10:55:00,3050,3050,3050,3050,0
2022-06-20 10:56:00,3050,3050,3050,3050,30000
2022-06-20 10:57:00,3050,3050,3050,3050,0
2022-06-20 10:58:00,3050,3050,3050,3050,0
2022-06-20 10:59:00,3050,3050,3050,3050,0
2022-06-20 11:00:00,3050,3050,3050,3050,0
2022-06-20 11:01:00,3050,3050,3050,3050,0
2022-06-20 11:02:00,3050,3050,3050,3050,0
2022-06-20 11:03:00,3050,3050,3050,3050,0
2022-06-20 11:04:00,3050,3050,3050,3050,0
2022-06-20 11:05:00,3050,3050,3050,3050,0
2022-06-20 11:06:00,3050,3050,3050,3050,0
2022-06-20 11:07:00,3050,3050,3050,3050,0
2022-06-20 11:08:00,3050,3050,3050,3050,0
2022-06-20 11:09:00,3050,3050,3050,3050,0
2022-06-20 11:10:00,3050,3050,3050,3050,0
2022-06-20 11:11:00,3050,3050,3050,3050,0
2022-06-20 11:12:00,3050,3050,3050,3050,0
2022-06-20 11:13:00,3050,3050,3050,3050,0
2022-06-20 11:14:00,3050,3050,3050,3050,0
2022-06-20 11:15:00,3050,3050,3050,3050,0
2022-06-20 11:16:00,3050,3050,3050,3050,0
2022-06-20 11:17:00,3050,3050,3050,3050,0
2022-06-20 11:18:00,3050,3050,3050,3050,0
2022-06-20 11:19:00,3050,3050,3050,3050,0
2022-06-20 11:20:00,3050,3050,3050,3050,0
2022-06-20 11:21:00,3050,3050,3050,3050,0
2022-06-20 11:22:00,3050,3050,3050,3050,0
2022-06-20 11:23:00,3050,3050,3050,3050,0
2022-06-20 11:24:00,3050,3050,3050,3050,0
2022-06-20 11:25:00,3050,3050,3050,3050,0
2022-06-20 11:26:00,3050,3050,3050,3050,0
2022-06-20 11:27:00,3050,3050,3050,3050,0
2022-06-20 11:28:00,3050,3050,3050,3050,0
2022-06-20 11:29:00,3050,3050,3050,3050,0
2022-06-20 11:30:00,3050,3050,3050,3050,0
2022-06-20 11:31:00,3050,3050,3050,3050,0
2022-06-20 11:32:00,3050,3050,3050,3050,0
2022-06-20 11:33:00,3050,3050,3050,3050,0
2022-06-20 11:34:00,3050,3050,3050,3050,0
2022-06-20 11:35:00,3050,3050,3050,3050,0
2022-06-20 11:36:00,3050,3050,3050,3050,0
2022-06-20 11:37:00,3050,3050,3050,3050,0
2022-06-20 11:38:00,3050,3050,3050,3050,0
2022-06-20 11:39:00,3050,3050,3050,3050,0
2022-06-20 11:40:00,3050,3050,3050,3050,0
2022-06-20 11:41:00,3050,3050,3050,3050,0
2022-06-20 11:42:00,3050,3050,3050,3050,0
2022-06-20 11:43:00,3050,3050,3050,3050,0
2022-06-20 11:44:00,3050,3050,3050,3050,0
2022-06-20 11:45:00,3050,3050,3050,3050,0
2022-06-20 11:46:00,3050,3050,3050,3050,0
2022-06-20 11:47:00,3050,3050,3050,3050,0
2022-06-20 11:48:00,3050,3050,3050,3050,0
2022-06-20 11:49:00,3050,3050,3050,3050,0
2022-06-20 11:50:00,3050,3050,3050,3050,0
2022-06-20 11:51:00,3050,3050,3050,3050,0
2022-06-20 11:52:00,3050,3050,3050,3050,0
2022-06-20 11:53:00,3050,3050,3050,3050,0
2022-06-20 11:54:00,3050,3050,3050,3050,0
2022-06-20 11:55:00,3050,3050,3050,3050,0
2022-06-20 11:56:00,3050,3050,3050,3050,0
2022-06-20 11:57:00,3050,3050,3050,3050,0
2022-06-20 11:58:00,3050,3050,3050,3050,0
2022-06-20 11:59:00,3050,3050,3050,3050,0
2022-06-20 12:00:00,3050,3050,3050,3050,0
2022-06-20 12:01:00,3050,3050,3050,3050,0
2022-06-20 12:02:00,3050,3050,3050,3050,0
2022-06-20 12:03:00,3050,3050,3050,3050,0
2022-06-20 12:04:00,3050,3050,3050,3050,0
2022-06-20 12:05:00,3050,3050,3050,3050,0
2022-06-20 12:06:00,3050,3050,3050,3050,0
2022-06-20 12:07:00,3050,3050,3050,3050,0
2022-06-20 12:08:00,3050,3050,3050,3050,0
2022-06-20 12:09:00,3050,3050,3050,3050,0
2022-06-20 12:10:00,3050,3050,3050,3050,0
2022-06-20 12:11:00,3050,3050,3050,3050,0
2022-06-20 12:12:00,3050,3050,3050,3050,0
2022-06-20 12:13:00,3050,3050,3050,3050,0
2022-06-20 12:14:00,3050,3050,3050,3050,0
2022-06-20 12:15:00,3050,3050,3050,3050,0
2022-06-20 12:16:00,3050,3050,3050,3050,0
2022-06-20 12:17:00,3050,3050,3050,3050,0
2022-06-20 12:18:00,3050,3050,3050,3050,0
2022-06-20 12:19:00,3050,3050,3050,3050,0
2022-06-20 12:20:00,3050,3050,3050,3050,0
2022-06-20 12:21:00,3050,3050,3050,3050,0
2022-06-20 12:22:00,3050,3050,3050,3050,0
2022-06-20 12:23:00,3050,3050,3050,3050,0
2022-06-20 12:24:00,3050,3050,3050,3050,0
2022-06-20 12:25:00,3050,3050,3050,3050,0
2022-06-20 12:26:00,3050,3050,3050,3050,0
2022-06-20 12:27:00,3050,3050,3050,3050,0
2022-06-20 12:28:00,3050,3050,3050,3050,0
2022-06-20 12:29:00,3050,3050,3050,3050,0
2022-06-20 12:30:00,3050,3050,3050,3050,0
2022-06-20 12:31:00,3050,3050,3050,3050,0
2022-06-20 12:32:00,3050,3050,3050,3050,0
2022-06-20 12:33:00,3050,3050,3050,3050,0
2022-06-20 12:34:00,3050,3050,3050,3050,0
2022-06-20 12:35:00,3050,3050,3050,3050,0
2022-06-20 12:36:00,3050,3050,3050,3050,0
2022-06-20 12:37:00,3050,3050,3050,3050,0
2022-06-20 12:38:00,3050,3050,3050,3050,0
2022-06-20 12:39:00,3050,3050,3050,3050,0
2022-06-20 12:40:00,3050,3050,3050,3050,0
2022-06-20 12:41:00,3050,3050,3050,3050,0
2022-06-20 12:42:00,3050,3050,3050,3050,0
2022-06-20 12:43:00,3050,3050,3050,3050,0
2022-06-20 12:44:00,3050,3050,3050,3050,0
2022-06-20 12:45:00,3050,3050,3050,3050,0
2022-06-20 12:46:00,3050,3050,3050,3050,0
2022-06-20 12:47:00,3050,3050,3050,3050,0
2022-06-20 12:48:00,3050,3050,3050,3050,0
2022-06-20 12:49:00,3050,3050,3050,3050,0
2022-06-20 12:50:00,3050,3050,3050,3050,0
2022-06-20 12:51:00,3050,3050,3050,3050,0
2022-06-20 12:52:00,3050,3050,3050,3050,0
2022-06-20 12:53:00,3050,3050,3050,3050,0
2022-06-20 12:54:00,3050,3050,3050,3050,0
2022-06-20 12:55:00,3050,3050,3050,3050,0
2022-06-20 12:56:00,3050,3050,3050,3050,0
2022-06-20 12:57:00,3050,3050,3050,3050,0
2022-06-20 12:58:00,3050,3050,3050,3050,0
2022-06-20 12:59:00,3050,3050,3050,3050,0
2022-06-20 13:00:00,3050,3050,3050,3050,0
2022-06-20 13:01:00,3050,3050,3050,3050,0
2022-06-20 13:02:00,3050,3050,3050,3050,0
2022-06-20 13:03:00,3050,3050,3050,3050,0
2022-06-20 13:04:00,3050,3050,3050,3050,0
2022-06-20 13:05:00,3050,3050,3050,3050,0
2022-06-20 13:06:00,3050,3050,3050,3050,0
2022-06-20 13:07:00,3050,3050,3050,3050,0
2022-06-20 13:08:00,3050,3050,3050,3050,0
2022-06-20 13:09:00,3050,3050,3050,3050,0
2022-06-20 13:10:00,3050,3050,3050,3050,0
2022-06-20 13:11:00,3050,3050,3050,3050,0
2022-06-20 13:12:00,3050,3050,3050,3050,0
2022-06-20 13:13:00,3050,3050,3050,3050,0
2022-06-20 13:14:00,3050,3050,3050,3050,0
2022-06-20 13:15:00,3050,3050,3050,3050,0
2022-06-20 13:16:00,3050,3050,3050,3050,0
2022-06-20 13:17:00,3050,3050,3050,3050,0
2022-06-20 13:18:00,3050,3050,3050,3050,0
2022-06-20 13:19:00,3050,3050,3050,3050,0
2022-06-20 13:20:00,3050,3050,3050,3050,0
2022-06-20 13:21:00,3050,3050,3050,3050,0
2022-06-20 13:22:00,3050,3050,3050,3050,0
2022-06-20 13:23:00,3050,3050,3050,3050,0
2022-06-20 13:24:00,3050,3050,3050,3050,0
2022-06-20 13:25:00,3050,3050,3050,3050,0
2022-06-20 13:26:00,3050,3050,3050,3050,0
2022-06-20 13:27:00,3050,3050,3050,3050,0
2022-06-20 13:28:00,3050,3050,3050,3050,0
2022-06-20 13:29:00,3050,3050,3050,3050,0
2022-06-20 13:30:00,3040,3040,3040,3040,200
2022-06-20 13:31:00,3040,3040,3040,3040,0
2022-06-20 13:32:00,3040,3040,3040,3040,0
2022-06-20 13:33:00,3050,3040,3050,3040,3500
2022-06-20 13:34:00,3050,3040,3050,3040,0
2022-06-20 13:35:00,3050,3040,3050,3040,0
2022-06-20 13:36:00,3050,3040,3050,3040,0
2022-06-20 13:37:00,3050,3040,3050,3040,0
2022-06-20 13:38:00,3050,3040,3050,3040,0
2022-06-20 13:39:00,3050,3040,3050,3040,0
2022-06-20 13:40:00,3040,3040,3040,3040,50000
2022-06-20 13:41:00,3040,3040,3040,3040,0
2022-06-20 13:42:00,3040,3040,3040,3040,0
